SampleID,PBlueEye,PIntermediateEye,PBrownEye,Full_AUC_BlueEye,Full_AUC_IntermediateEye,Full_AUC_BrownEye,Numb_missingSNPs_Eye,Name_missingSNPs_Eye,AUC_Loss_BlueEye,AUC_Loss_IntermediateEye,AUC_Loss_BrownEye,PBlondHair,PBrownHair,PRedHair,PBlackHair,Full_AUC_BlondHair,Full_AUC_BrownHair,Full_AUC_RedHair,Full_AUC_BlackHair,Numb_missingSNPs_Hair,Name_missingSNPs_Hair,AUC_Loss_BlondHair,AUC_Loss_BrownHair,AUC_Loss_RedHair,AUC_Loss_BlackHair,PLightHair,PDarkHair,Full_AUC_HairShade,Numb_missingSNPs_HairShade,Name_missingSNPs_HairShade,AUC_Loss_HairShade,PVeryPaleSkin,PPaleSkin,PIntermediateSkin,PDarkSkin,PDarktoBlackSkin,Full_AUC_Very PaleSkin,Full_AUC_PaleSkin,Full_AUC_IntermediateSkin,Full_AUC_DarkSkin,Full_AUC_DarktoBlackSkin,Numb_missingSNPs_Skin,Name_missingSNPs_Skin,AUC_Loss_VeryPaleSkin,AUC_Loss_PaleSkin,AUC_Loss_IntermediateSkin,AUC_Loss_DarkSkin,AUC_Loss_DarktoBlackSkin
HG00118,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.657452141352119,0.237303615325076,0.0962045952385256,0.00903964808427948,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.990848496462116,0.00915150353788433,0.905443611371445,0,,0,0.156360538493313,0.185178817354227,0.654639399428167,0.00332048161524302,0.000500763109049185,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00119,0.94890505701397,0.0354135696201772,0.0156813733658527,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.705643084418064,0.25448248949273,0.00202415046032837,0.0378502756288775,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.949156924494552,0.0508430755054482,0.905443611371445,0,,0,0.015369514809483,0.148409471462679,0.814063926226261,0.00925764516176613,0.0128994423398118,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00120,0.875504409175685,0.0898303829253316,0.0346652078989831,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.317254103828266,0.529789442544949,0.0068007976735996,0.146155655953185,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.718623581133811,0.281376418866189,0.905443611371445,0,,0,0.181130658569731,0.14075624735742,0.66031767543551,0.000977449784529673,0.0168179688528091,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00121,0.925846707834869,0.0570714663918109,0.0170818257733202,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.329144409410309,0.480571452021552,0.168276336537213,0.0220078020309261,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.959488580952806,0.0405114190471945,0.905443611371445,0,,0,0.255217781335062,0.198573066318059,0.545106295807301,0.00108481609529598,1.80404442819417e-05,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00122,0.94890505701397,0.0354135696201772,0.0156813733658527,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.776188873103434,0.159312172474988,0.0473533627724499,0.0171455916491278,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.980027816343995,0.0199721836560052,0.905443611371445,0,,0,0.0414541073893715,0.197205726503912,0.761340166024148,4.18589768667347e-11,4.07096086275621e-11,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00123,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.647661181499209,0.306543163556536,0.00236172242853515,0.0434339325157207,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.930067437499902,0.0699325625000979,0.905443611371445,0,,0,0.017561944529796,0.0790542821241471,0.880342060523236,0.0126361984582874,0.0104055143645338,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00125,0.94890505701397,0.0354135696201772,0.0156813733658527,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.695660588778548,0.269845017360096,0.0126711726168026,0.0218232212445541,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.979080615353781,0.0209193846462188,0.905443611371445,0,,0,0.0489395917618044,0.125822563153126,0.811166809881586,0.00237659629473927,0.011694438908744,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00126,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.581580005399958,0.376640381075803,0.00643841812941769,0.0353411953948219,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.947662671695119,0.0523373283048812,0.905443611371445,0,,0,0.00901197599736246,0.102618039283197,0.86307651685421,0.00860761901792153,0.0166858488473085,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00127,0.925846707834869,0.0570714663918109,0.0170818257733202,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.0315769873526406,0.0311726621657486,0.936902581788299,0.000347768693311482,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.996192647247374,0.00380735275262557,0.905443611371445,0,,0,0.365702778699642,0.158012476274555,0.47475661943174,0.00152675154887798,1.37404518514985e-06,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00128,0.649894489438725,0.121838766044833,0.228266744516442,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.313139201652604,0.513451205602973,0.000965409210047519,0.172444183534375,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.786546403683825,0.213453596316175,0.905443611371445,0,,0,0.0056338118798366,0.0509742839739868,0.876308427828231,0.0149429932335152,0.0521404830844302,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
